name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Peter Pan Was Right *by* Anson Seabra,0.661,0.517,5,-7.74,1,0.0406,0.223,0,0.116,0.241,84.014,audio_features,2At18rPHOuTEjGEppwGV0A,spotify:track:2At18rPHOuTEjGEppwGV0A,https://api.spotify.com/v1/tracks/2At18rPHOuTEjGEppwGV0A,https://api.spotify.com/v1/audio-analysis/2At18rPHOuTEjGEppwGV0A,192498,4
Unloving You *by* Anson Seabra,0.765,0.393,6,-9.616,1,0.0311,0.633,0,0.142,0.224,121.909,audio_features,2w9nvs1ByWUGkED4M0ug34,spotify:track:2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/tracks/2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/audio-analysis/2w9nvs1ByWUGkED4M0ug34,153863,4
Welcome to Wonderland *by* Anson Seabra,0.703,0.179,4,-10.906,1,0.0366,0.949,0,0.102,0.346,97.427,audio_features,3JfHYZKy5JmE5Fv4gDTCiz,spotify:track:3JfHYZKy5JmE5Fv4gDTCiz,https://api.spotify.com/v1/tracks/3JfHYZKy5JmE5Fv4gDTCiz,https://api.spotify.com/v1/audio-analysis/3JfHYZKy5JmE5Fv4gDTCiz,199131,3
Keep Your Head Up Princess *by* Anson Seabra,0.689,0.143,6,-17.374,1,0.264,0.97,0,0.109,0.528,85.398,audio_features,19pChrR4hwdINqoOFUo2Hj,spotify:track:19pChrR4hwdINqoOFUo2Hj,https://api.spotify.com/v1/tracks/19pChrR4hwdINqoOFUo2Hj,https://api.spotify.com/v1/audio-analysis/19pChrR4hwdINqoOFUo2Hj,198220,4
Walked Through Hell *by* Anson Seabra,0.508,0.404,10,-11.092,1,0.0788,0.664,0,0.104,0.129,81.713,audio_features,6c7N5N7amAOpeMykjlovjI,spotify:track:6c7N5N7amAOpeMykjlovjI,https://api.spotify.com/v1/tracks/6c7N5N7amAOpeMykjlovjI,https://api.spotify.com/v1/audio-analysis/6c7N5N7amAOpeMykjlovjI,216865,4
Hard To Be Human *by* Anson Seabra,0.703,0.275,2,-12.665,1,0.0312,0.893,4.4e-06,0.203,0.204,99.006,audio_features,3rhcTGF7AK0QsSzMmLVkqu,spotify:track:3rhcTGF7AK0QsSzMmLVkqu,https://api.spotify.com/v1/tracks/3rhcTGF7AK0QsSzMmLVkqu,https://api.spotify.com/v1/audio-analysis/3rhcTGF7AK0QsSzMmLVkqu,170415,3
Trying My Best *by* Anson Seabra,0.691,0.0682,5,-18.186,1,0.0645,0.951,0,0.0916,0.352,76.94,audio_features,6hjh2phISvfR1Ib6S0FK7b,spotify:track:6hjh2phISvfR1Ib6S0FK7b,https://api.spotify.com/v1/tracks/6hjh2phISvfR1Ib6S0FK7b,https://api.spotify.com/v1/audio-analysis/6hjh2phISvfR1Ib6S0FK7b,222468,4
I Can't Carry This Anymore *by* Anson Seabra,0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.355,0.456,166.603,audio_features,2vzWylXWogTG11HR0frews,spotify:track:2vzWylXWogTG11HR0frews,https://api.spotify.com/v1/tracks/2vzWylXWogTG11HR0frews,https://api.spotify.com/v1/audio-analysis/2vzWylXWogTG11HR0frews,200000,4
Robin Hood *by* Anson Seabra,0.731,0.153,4,-14.409,1,0.0562,0.952,0,0.134,0.324,78.072,audio_features,5dyihZecYMcEPq09Bk2OL2,spotify:track:5dyihZecYMcEPq09Bk2OL2,https://api.spotify.com/v1/tracks/5dyihZecYMcEPq09Bk2OL2,https://api.spotify.com/v1/audio-analysis/5dyihZecYMcEPq09Bk2OL2,221538,4
18 *by* Anson Seabra,0.649,0.46,5,-10.374,1,0.0497,0.335,2.44e-06,0.145,0.435,129.872,audio_features,54F792TiwJOWmTJpbUqbXu,spotify:track:54F792TiwJOWmTJpbUqbXu,https://api.spotify.com/v1/tracks/54F792TiwJOWmTJpbUqbXu,https://api.spotify.com/v1/audio-analysis/54F792TiwJOWmTJpbUqbXu,178408,4
That's Us *by* Anson Seabra,0.621,0.108,10,-15.399,1,0.0493,0.968,1.67e-05,0.137,0.204,129.285,audio_features,7sTDqaGUr9NM8NHQ5SNHi1,spotify:track:7sTDqaGUr9NM8NHQ5SNHi1,https://api.spotify.com/v1/tracks/7sTDqaGUr9NM8NHQ5SNHi1,https://api.spotify.com/v1/audio-analysis/7sTDqaGUr9NM8NHQ5SNHi1,270462,4
